Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Fri Jul 27 09:38:09 +0000 2018,1.0,0.0,0.0,78
0.6705,Fri Jul 27 08:00:16 +0000 2018,0.591,0.094,0.315,79
-0.34,Fri Jul 27 07:26:02 +0000 2018,0.702,0.18,0.118,80
-0.6249,Fri Jul 27 07:01:03 +0000 2018,0.779,0.221,0.0,81
-0.4588,Thu Jul 26 19:02:05 +0000 2018,0.693,0.208,0.099,82
-0.046,Thu Jul 26 18:02:07 +0000 2018,0.746,0.131,0.123,83
-0.5106,Thu Jul 26 17:01:06 +0000 2018,0.858,0.142,0.0,84
-0.296,Thu Jul 26 16:11:16 +0000 2018,0.909,0.091,0.0,85
0.2263,Thu Jul 26 16:02:03 +0000 2018,0.741,0.106,0.153,86
0.0,Thu Jul 26 15:40:44 +0000 2018,1.0,0.0,0.0,87
-0.1779,Thu Jul 26 13:01:05 +0000 2018,0.826,0.101,0.072,88
-0.4614,Thu Jul 26 12:02:06 +0000 2018,0.764,0.236,0.0,89
-0.4019,Thu Jul 26 11:00:16 +0000 2018,0.788,0.148,0.064,90
-0.8176,Thu Jul 26 08:45:35 +0000 2018,0.762,0.238,0.0,91
-0.4019,Thu Jul 26 08:00:00 +0000 2018,0.828,0.172,0.0,92
-0.3818,Thu Jul 26 07:28:06 +0000 2018,0.732,0.167,0.102,93
-0.4019,Thu Jul 26 07:01:02 +0000 2018,0.748,0.252,0.0,94
0.4019,Wed Jul 25 19:02:00 +0000 2018,0.617,0.136,0.247,95
0.4404,Wed Jul 25 18:02:05 +0000 2018,0.725,0.092,0.184,96
0.0,Wed Jul 25 16:02:05 +0000 2018,1.0,0.0,0.0,97
0.0,Wed Jul 25 14:37:40 +0000 2018,1.0,0.0,0.0,98
0.0,Wed Jul 25 13:57:01 +0000 2018,1.0,0.0,0.0,99
-0.4767,Wed Jul 25 13:02:05 +0000 2018,0.758,0.159,0.083,100
