Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.4588,Tue Jul 31 12:30:30 +0000 2018,0.7,0.3,0.0,78
0.4019,Tue Jul 31 12:19:39 +0000 2018,0.856,0.0,0.144,79
0.296,Tue Jul 31 12:08:54 +0000 2018,0.784,0.0,0.216,80
0.7184,Tue Jul 31 11:57:56 +0000 2018,0.739,0.0,0.261,81
0.0,Tue Jul 31 11:50:19 +0000 2018,1.0,0.0,0.0,82
0.0,Tue Jul 31 11:42:37 +0000 2018,1.0,0.0,0.0,83
0.0,Tue Jul 31 11:34:53 +0000 2018,1.0,0.0,0.0,84
0.34,Tue Jul 31 11:27:19 +0000 2018,0.821,0.0,0.179,85
-0.8225,Tue Jul 31 11:18:42 +0000 2018,0.511,0.489,0.0,86
-0.3612,Tue Jul 31 11:10:46 +0000 2018,0.647,0.214,0.139,87
-0.296,Tue Jul 31 11:04:43 +0000 2018,0.896,0.104,0.0,88
0.4939,Tue Jul 31 10:54:07 +0000 2018,0.775,0.0,0.225,89
0.0,Tue Jul 31 10:48:00 +0000 2018,1.0,0.0,0.0,90
0.6369,Tue Jul 31 10:46:39 +0000 2018,0.606,0.0,0.394,91
-0.7269,Tue Jul 31 10:39:08 +0000 2018,0.747,0.253,0.0,92
-0.8402,Tue Jul 31 10:31:42 +0000 2018,0.64,0.36,0.0,93
0.0,Tue Jul 31 10:24:26 +0000 2018,1.0,0.0,0.0,94
0.0,Tue Jul 31 10:16:57 +0000 2018,1.0,0.0,0.0,95
0.0,Tue Jul 31 10:09:47 +0000 2018,1.0,0.0,0.0,96
0.0772,Tue Jul 31 10:02:34 +0000 2018,0.929,0.0,0.071,97
0.0,Tue Jul 31 09:55:19 +0000 2018,1.0,0.0,0.0,98
0.0,Tue Jul 31 09:48:14 +0000 2018,1.0,0.0,0.0,99
0.4019,Tue Jul 31 09:36:43 +0000 2018,0.828,0.0,0.172,100
