Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.5994,Mon Jun 11 02:33:09 +0000 2018,0.698,0.0,0.302,79
0.4215,Mon Jun 11 02:29:18 +0000 2018,0.877,0.0,0.123,80
0.8932,Mon Jun 11 02:23:56 +0000 2018,0.483,0.0,0.517,81
0.0,Mon Jun 11 02:21:03 +0000 2018,1.0,0.0,0.0,82
0.0,Mon Jun 11 02:16:06 +0000 2018,1.0,0.0,0.0,83
0.8908,Mon Jun 11 02:11:03 +0000 2018,0.509,0.0,0.491,84
0.0,Mon Jun 11 02:05:47 +0000 2018,1.0,0.0,0.0,85
0.4926,Mon Jun 11 02:03:31 +0000 2018,0.738,0.0,0.262,86
0.5093,Mon Jun 11 01:58:48 +0000 2018,0.477,0.0,0.523,87
0.7579,Mon Jun 11 01:53:17 +0000 2018,0.519,0.0,0.481,88
0.6467,Mon Jun 11 01:51:16 +0000 2018,0.752,0.0,0.248,89
0.0,Mon Jun 11 01:38:23 +0000 2018,1.0,0.0,0.0,90
0.636,Mon Jun 11 01:37:36 +0000 2018,0.724,0.0,0.276,91
0.8834,Mon Jun 11 01:30:56 +0000 2018,0.437,0.0,0.563,92
0.0,Mon Jun 11 01:29:21 +0000 2018,1.0,0.0,0.0,93
0.7351,Mon Jun 11 01:26:03 +0000 2018,0.625,0.079,0.296,94
0.0,Mon Jun 11 01:25:59 +0000 2018,1.0,0.0,0.0,95
0.0,Mon Jun 11 01:24:46 +0000 2018,1.0,0.0,0.0,96
0.4019,Mon Jun 11 01:24:12 +0000 2018,0.838,0.0,0.162,97
0.9151,Mon Jun 11 01:19:59 +0000 2018,0.543,0.0,0.457,98
0.6369,Mon Jun 11 01:12:31 +0000 2018,0.625,0.0,0.375,99
0.1511,Mon Jun 11 01:08:28 +0000 2018,0.898,0.0,0.102,100
