Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Tue Jul 31 15:25:00 +0000 2018,1.0,0.0,0.0,78
-0.5994,Tue Jul 31 15:14:18 +0000 2018,0.698,0.219,0.084,79
-0.1027,Tue Jul 31 15:13:51 +0000 2018,0.887,0.113,0.0,80
-0.3818,Tue Jul 31 15:11:06 +0000 2018,0.833,0.167,0.0,81
0.0,Tue Jul 31 15:05:20 +0000 2018,1.0,0.0,0.0,82
0.743,Tue Jul 31 15:04:00 +0000 2018,0.656,0.0,0.344,83
0.0,Tue Jul 31 14:50:00 +0000 2018,1.0,0.0,0.0,84
0.0,Tue Jul 31 14:40:42 +0000 2018,1.0,0.0,0.0,85
0.4215,Tue Jul 31 14:27:35 +0000 2018,0.811,0.0,0.189,86
0.0,Tue Jul 31 14:23:40 +0000 2018,1.0,0.0,0.0,87
0.5106,Tue Jul 31 14:21:57 +0000 2018,0.837,0.0,0.163,88
0.431,Tue Jul 31 14:20:33 +0000 2018,0.849,0.0,0.151,89
0.0,Tue Jul 31 14:13:50 +0000 2018,1.0,0.0,0.0,90
0.6249,Tue Jul 31 14:12:32 +0000 2018,0.779,0.0,0.221,91
0.0,Tue Jul 31 14:05:04 +0000 2018,1.0,0.0,0.0,92
-0.4215,Tue Jul 31 14:04:31 +0000 2018,0.859,0.141,0.0,93
-0.7759,Tue Jul 31 14:03:47 +0000 2018,0.727,0.273,0.0,94
-0.8516,Tue Jul 31 14:00:02 +0000 2018,0.583,0.417,0.0,95
0.0,Tue Jul 31 13:59:49 +0000 2018,1.0,0.0,0.0,96
0.0,Tue Jul 31 13:58:22 +0000 2018,1.0,0.0,0.0,97
0.6361,Tue Jul 31 13:52:59 +0000 2018,0.766,0.0,0.234,98
-0.8225,Tue Jul 31 13:40:29 +0000 2018,0.568,0.432,0.0,99
0.0,Tue Jul 31 13:20:31 +0000 2018,1.0,0.0,0.0,100
